cluster_id,id1,title1,author1,doi1,id2,title2,author2,doi2
0,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,P_0000000896,Editor's Comments: Necessary Changes,Saunders,
1,D_000416,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,D_000518,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
2,D_000562,Editor's Comments,Weber,,D_000590,Editor's Comments,Weber,
3,P_0000000691,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
4,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765,P_0000000896,Editor's Comments: Necessary Changes,Saunders,
5,D_000159,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",,P_0000000172,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
6,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
7,C_000684,Editor's Comments,Weber,10.2307/30036516,P_0000000691,Editor's Comments,Weber,
8,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
9,D_000562,Editor's Comments,Weber,,P_0000000691,Editor's Comments,Weber,
10,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
11,C_000684,Editor's Comments,Weber,10.2307/30036516,P_0000001654,Editor's Comments,Weber,
12,D_000562,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
13,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
14,C_000684,Editor's Comments,Weber,10.2307/30036516,C_000881,Editor's Comments,Weber,10.2307/25148621
15,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
16,C_001389,Straub/Editor's Comments,Straub,10.2307/25750684,P_0000001568,Straub/Editor's Comments,Straub,
17,P_0000000146,Editor's Comments,Weber,,P_0000000845,Editor's Comments,Weber,
18,C_001299,Straub/Editor's Comments,Straub,10.2307/25148851,P_0000000242,Straub/Editor's Comments,Straub,
19,P_0000000845,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
20,P_0000000691,Editor's Comments,Weber,,P_0000000845,Editor's Comments,Weber,
21,C_000601,Editor's Comments: Use,Straub,10.2307/41703495,C_000978,Editor's Comments: Use,Straub,10.2307/41703494
22,C_000481,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/3250980,D_000416,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
23,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05
24,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
25,P_0000000896,Editor's Comments: Necessary Changes,Saunders,,P_0000001384,Editor's Comments: Necessary Changes,Saunders,
26,D_000230,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",,P_0000000358,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",
27,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765,P_001863,Editor's Comments: Necessary Changes,Saunders,
28,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
29,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
30,D_000562,Editor's Comments,Weber,,P_0000000845,Editor's Comments,Weber,
31,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
32,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
33,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
34,P_0000000172,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",,P_0000001677,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
35,P_0000001204,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,,P_0000001379,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,
36,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739
37,P_0000001701,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",,P_0000001772,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",
38,C_000846,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",10.2307/249326,P_0000000957,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",
39,P_0000000097,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,P_0000000900,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
40,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765
41,P_0000000007,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,P_001864,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
42,P_0000000007,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,P_0000000993,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
43,C_000684,Editor's Comments,Weber,10.2307/30036516,P_0000000146,Editor's Comments,Weber,
44,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753
45,C_001359,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,10.2307/25148665,C_001393,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,10.2307/25148676
46,C_001947,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2024/17125,P_001914,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2023/17125
47,C_000684,Editor's Comments,Weber,10.2307/30036516,D_000562,Editor's Comments,Weber,
48,C_001299,Straub/Editor's Comments,Straub,10.2307/25148851,C_001389,Straub/Editor's Comments,Straub,10.2307/25750684
49,C_000978,Editor's Comments: Use,Straub,10.2307/41703494,P_0000001663,Editor's Comments: Use,Straub,
50,C_000881,Editor's Comments,Weber,10.2307/25148621,D_000590,Editor's Comments,Weber,
51,C_000684,Editor's Comments,Weber,10.2307/30036516,D_000618,Editor's Comments,Weber,
52,P_0000000242,Straub/Editor's Comments,Straub,,P_0000001568,Straub/Editor's Comments,Straub,
53,D_000562,Editor's Comments,Weber,,D_000618,Editor's Comments,Weber,
54,C_001574,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/249542,P_0000000900,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
55,C_000881,Editor's Comments,Weber,10.2307/25148621,P_0000000691,Editor's Comments,Weber,
56,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08
57,P_001814,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957,P_001885,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
58,P_0000001695,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",,P_0000001701,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",
59,C_001574,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/249542,D_000518,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
60,P_0000000896,Editor's Comments: Necessary Changes,Saunders,,P_001863,Editor's Comments: Necessary Changes,Saunders,
61,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,P_0000001384,Editor's Comments: Necessary Changes,Saunders,
62,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765
63,D_000518,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,P_0000000097,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
64,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753
65,D_000590,Editor's Comments,Weber,,P_0000000691,Editor's Comments,Weber,
66,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
67,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753
68,C_000481,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/3250980,P_0000000097,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
69,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753,P_0000001384,Editor's Comments: Necessary Changes,Saunders,
70,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
71,D_000027,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",,P_0000000957,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",
72,C_000881,Editor's Comments,Weber,10.2307/25148621,P_0000000845,Editor's Comments,Weber,
73,P_0000000544,"EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being","Goes, Paulo B and Head, Management",,P_0000000945,"EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being","Goes, Paulo B and Head, Management",
74,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08
75,D_000618,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
76,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,P_0000001384,Editor's Comments: Necessary Changes,Saunders,
77,C_001129,Editor's Comments: From the Trenches: Thoughts on Developmental Reviewing,Saunders,10.2307/25148675,P_0000000473,Editor's Comments: From the Trenches: Thoughts on Developmental Reviewing,Saunders,
78,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
79,D_000618,Editor's Comments,Weber,,P_0000000146,Editor's Comments,Weber,
80,C_000963,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",10.2307/248722,P_0000000358,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",
81,P_0000000993,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,P_001864,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
82,P_0000001533,Editor's Comments: Use,Straub,,P_0000001663,Editor's Comments: Use,Straub,
83,P_0000001384,Editor's Comments: Necessary Changes,Saunders,,P_001863,Editor's Comments: Necessary Changes,Saunders,
84,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
85,P_0000001695,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",,P_0000001772,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",
86,C_001393,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,10.2307/25148676,P_0000001204,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,
87,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
88,C_001359,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,10.2307/25148665,P_0000001379,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,
89,C_000601,Editor's Comments: Use,Straub,10.2307/41703495,P_0000001533,Editor's Comments: Use,Straub,
90,D_000618,Editor's Comments,Weber,,P_0000000845,Editor's Comments,Weber,
91,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753,P_0000000896,Editor's Comments: Necessary Changes,Saunders,
92,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
93,C_000881,Editor's Comments,Weber,10.2307/25148621,P_0000000146,Editor's Comments,Weber,
94,D_000416,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,P_0000000900,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
95,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,P_001863,Editor's Comments: Necessary Changes,Saunders,
96,C_000881,Editor's Comments,Weber,10.2307/25148621,D_000562,Editor's Comments,Weber,
97,C_000881,Editor's Comments,Weber,10.2307/25148621,D_000618,Editor's Comments,Weber,
98,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
99,P_0000001723,Editor's Comments: Necessary Changes,Saunders,,P_001863,Editor's Comments: Necessary Changes,Saunders,
100,D_000590,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
101,D_001524,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17710,P_001877,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17701
102,P_0000000896,Editor's Comments: Necessary Changes,Saunders,,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
103,P_0000001704,Issues and Opinions,,,P_0000001720,Issues and Opinions,,
104,D_000590,Editor's Comments,Weber,,P_0000000146,Editor's Comments,Weber,
105,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753,P_001863,Editor's Comments: Necessary Changes,Saunders,
106,C_000481,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/3250980,C_001574,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/249542
107,P_0000001728,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,P_001864,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
108,P_0000000358,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",,P_0000001707,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",
109,D_000590,Editor's Comments,Weber,,D_000618,Editor's Comments,Weber,
110,C_001878,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17710,P_001877,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17701
111,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
112,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,P_001863,Editor's Comments: Necessary Changes,Saunders,
113,P_001814,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957,P_001884,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
114,P_0000000007,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,P_0000001728,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
115,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
116,D_001521,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2024/17125,P_001914,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2023/17125
117,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
118,P_0000000068,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,"Burton-Jones, Andrew",,P_001802,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,"Burton-Jones, Andrew",
119,P_0000000146,Editor's Comments,Weber,,P_0000000691,Editor's Comments,Weber,
120,C_001423,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",10.2307/248676,P_0000000172,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
121,P_0000000146,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
122,C_001850,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957,P_001814,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
123,P_0000001384,Editor's Comments: Necessary Changes,Saunders,,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
