cluster,ID,title,author,dblp_key,url,year,booktitle,ENTRYTYPE,metadata_source,__orig_index
1,004657,Unravelling Open Innovation Platform Evolution in Value Creation: Technology Affordances and Constraints,"Chen, Ying and Chan, Hing Kai and Cai, Zhao",https://dblp.org/rec/conf/pacis/ChenCC22,https://aisel.aisnet.org/pacis2022/96,2022,Pacific Asia Conference on Information Systems,inproceedings,,4656
1,004658,Unravelling Open Innovation Platform Evolution in Value Creation: Technology Affordances and Constraints,"Chen, Ying and Chan, Hing Kai and Cai, Zhao",https://dblp.org/rec/conf/pacis/ChenCC22a,https://aisel.aisnet.org/pacis2022/346,2022,Pacific Asia Conference on Information Systems,inproceedings,,4657
2,001753,Understanding The Use Of Enterprise Content Management Systems (Ecms) In Diversification Type Of Organizations,"Arshad, Noreen Izza and Bosua, Rachelle and Milton, Simon K.",https://dblp.org/rec/conf/pacis/ArshadBM12,http://aisel.aisnet.org/pacis2012/35,2012,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1752
2,001754,Understanding The Use Of Enterprise Content Management Systems In Coordination Type Of Organizations,"Arshad, Noreen Izza and Milton, Simon K. and Bosua, Rachelle",https://dblp.org/rec/conf/pacis/ArshadMB12,http://aisel.aisnet.org/pacis2012/34,2012,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1753
3,000506,End-User Experience With Information In Web-Based Electronic Service - A Case Study,"Sandhu, Kamaljeet and Corbitt, Brian J.",https://dblp.org/rec/conf/pacis/SandhuC03,http://aisel.aisnet.org/pacis2003/20,2003,Pacific Asia Conference on Information Systems,inproceedings,DBLP,505
3,000508,End-User Control In Web-Based Electronic Services - A Case Study,"Sandhu, Kamaljeet and Corbitt, Brian J.",https://dblp.org/rec/conf/pacis/SandhuC03b,http://aisel.aisnet.org/pacis2003/37,2003,Pacific Asia Conference on Information Systems,inproceedings,DBLP,507
4,001996,An AHP-QFD Integrated Approach to Meet Three Dimensional Environmental Value Requirements in Sustainable E-Business Modelling,"Dewan, Mohammed Naim A. and Biswas, Nasrin Ruby and Chowdhury, Maruf Hossan and Quaddus, Mohammed A.",https://dblp.org/rec/conf/pacis/DewanBCQ13,http://aisel.aisnet.org/pacis2013/92,2013,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1995
4,001997,An AHP Integrated QFD Approach for Three Dimensional Blended Value Requirements in Sustainable E-Business Modelling - The Case of a Commercial Bank,"Dewan, Mohammed Naim A. and Biswas, Nasrin Ruby and Chowdhury, Maruf Hossan and Quaddus, Mohammed A.",https://dblp.org/rec/conf/pacis/DewanBCQ13a,http://aisel.aisnet.org/pacis2013/96,2013,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1996
5,004144,Social Comparisons in Sustaining Exercise Intensity,"Choi, Ben",https://dblp.org/rec/conf/pacis/Choi20,https://aisel.aisnet.org/pacis2020/12,2020,Pacific Asia Conference on Information Systems,inproceedings,DBLP,4143
5,004145,Social Comparisons in Sustaining Exercise Intensity,"Choi, Ben",https://dblp.org/rec/conf/pacis/Choi20a,https://aisel.aisnet.org/pacis2020/138,2020,Pacific Asia Conference on Information Systems,inproceedings,DBLP,4144
6,004747,Spotlight on DeFi Centerpieces: Towards an Economic Perspective on Asset Tokenization Services,"Kölbel, Tobias and Lamberty, Ricky and Sterk, Felix and Weinhardt, Christof",https://dblp.org/rec/conf/pacis/KolbelLSW22,https://aisel.aisnet.org/pacis2022/94,2022,Pacific Asia Conference on Information Systems,inproceedings,,4746
6,004748,Spotlight on DeFi Centerpieces Towards an Economic Perspective on Asset Tokenization Services,"Kölbel, Tobias and Lamberty, Ricky and Sterk, Felix and Weinhardt, Christof",https://dblp.org/rec/conf/pacis/KolbelLSW22a,https://aisel.aisnet.org/pacis2022/347,2022,Pacific Asia Conference on Information Systems,inproceedings,,4747
7,004839,What is and is not the Digital Sharing Economy?,"Pouri, Maria Joan",https://dblp.org/rec/conf/pacis/Pouri22,https://aisel.aisnet.org/pacis2022/297,2022,Pacific Asia Conference on Information Systems,inproceedings,,4838
7,004840,A policy vision for the Digital Sharing Economy,"Pouri, Maria Joan",https://dblp.org/rec/conf/pacis/Pouri22a,https://aisel.aisnet.org/pacis2022/311,2022,Pacific Asia Conference on Information Systems,inproceedings,,4839
8,001001,An Evaluation of Information Systems Course - A Reflection from Final Year Students,"Kurnia, Sherah",https://dblp.org/rec/conf/pacis/Kurnia07,http://aisel.aisnet.org/pacis2007/48,2007,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1000
8,001002,An Evaluation of Information Systems Course - A Reflection from Final Year Students,"Kurnia, Sherah",https://dblp.org/rec/conf/pacis/Kurnia07a,http://aisel.aisnet.org/pacis2007/124,2007,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1001
9,003836,Understanding Formal and Informal Learning Systems in Contemporary Learning Environments,"Wijesooriya, Chinthake and Heales, Jon and Rohde, Fiona H. and Clutterbuck, Peter",https://dblp.org/rec/conf/pacis/WijesooriyaHRC18,https://aisel.aisnet.org/pacis2018/290,2018,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3835
9,003837,The Role of Formal and Informal Learning Systems in Virtual Learning Environments,"Wijesooriya, Chinthake and Heales, Jon and Rohde, Fiona H. and Clutterbuck, Peter",https://dblp.org/rec/conf/pacis/WijesooriyaHRC18a,https://aisel.aisnet.org/pacis2018/342,2018,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3836
10,004569,Suffering or Joy? Envy on Social Networking Sites During the Pandemic,"Wong, Randy Yee Man and Chmielinski, Michal and Cheung, Christy M. K.",https://dblp.org/rec/conf/pacis/WongCC21,https://aisel.aisnet.org/pacis2021/99,2021,Pacific Asia Conference on Information Systems,inproceedings,,4568
10,004570,Suffering or Joy? Envy on Social Networking Sites During the Pandemic,"Wong, Randy Yee Man and Chmielinski, Michal and Cheung, Christy M. K.",https://dblp.org/rec/conf/pacis/WongCC21a,https://aisel.aisnet.org/pacis2021/242,2021,Pacific Asia Conference on Information Systems,inproceedings,,4569
11,004752,Digital Agility in Extreme Contexts: Transforming Organisations from Chaos to Complexity through Digital Platform Ecosystems,"Kovacevic-Opacic, Lana and Marjanovic, Olivera",https://dblp.org/rec/conf/pacis/Kovacevic-Opacic22,https://aisel.aisnet.org/pacis2022/92,2022,Pacific Asia Conference on Information Systems,inproceedings,,4751
11,004753,Digital Agility in Extreme Contexts Transforming Organisations from Chaos to Complexity through Digital Platform Ecosystems,"Kovacevic-Opacic, Lana and Marjanovic, Olivera",https://dblp.org/rec/conf/pacis/Kovacevic-Opacic22a,https://aisel.aisnet.org/pacis2022/348,2022,Pacific Asia Conference on Information Systems,inproceedings,,4752
12,003219,Simulation Design in Information Systems Research - Example of Studying IT Value Cocreation with NK Model,"Xie, Yancong and Zhang, Meng",https://dblp.org/rec/conf/pacis/XieZ16,http://aisel.aisnet.org/pacis2016/197,2016,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3218
12,003220,Tutorial on NK Model,"Xie, Yancong and Zhang, Meng",https://dblp.org/rec/conf/pacis/XieZ16a,http://aisel.aisnet.org/pacis2016/216,2016,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3219
13,001749,A Design Science Research Roadmap,"Alturki, Ahmad",https://dblp.org/rec/conf/pacis/Alturki12,http://aisel.aisnet.org/pacis2012/190,2012,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1748
13,001750,"Validating The Design Science Research Roadmap - Through The Lens Of ""The Idealised Model For Theory Development""","Alturki, Ahmad and Gable, Guy G. and Bandara, Wasana and Gregor, Shirley",https://dblp.org/rec/conf/pacis/AlturkiGBG12,http://aisel.aisnet.org/pacis2012/2,2012,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1749
13,001948,The Design Science Research Roadmap - In Progress Evaluation,"Alturki, Ahmad and Gable, Guy G. and Bandara, Wasana",https://dblp.org/rec/conf/pacis/AlturkiGB13,http://aisel.aisnet.org/pacis2013/160,2013,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1947
14,003430,Exploring the Factors influencing Top Management Involvement and Participation in Information Security,"Munira, Rufizah Abdul and Molok, Nurul Nuha Abdul and Talib, Shuhaili",https://dblp.org/rec/conf/pacis/MuniraMT17,http://aisel.aisnet.org/pacis2017/65,2017,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3429
14,003431,Exploring the Factors Influencing Top Management Involvement in Information Security,"Munira, Rufizah Abdul and Molok, Nurul Nuha Abdul and Talib, Shuhaili",https://dblp.org/rec/conf/pacis/MuniraMT17a,http://aisel.aisnet.org/pacis2017/273,2017,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3430
15,004851,"Hello, Mate! Insights from the Field on Leveraging Machine Teammates in Organizations","Rix, Jennifer and Hess, Thomas",https://dblp.org/rec/conf/pacis/RixH22,https://aisel.aisnet.org/pacis2022/95,2022,Pacific Asia Conference on Information Systems,inproceedings,,4850
15,004852,"Hello, Mate! Insights from the Field on Leveraging Machine Teammates in Organizations","Rix, Jennifer and Hess, Thomas",https://dblp.org/rec/conf/pacis/RixH22a,https://aisel.aisnet.org/pacis2022/344,2022,Pacific Asia Conference on Information Systems,inproceedings,,4851
16,000746,Consumer Loyalty versus Propensity to Switch between Providers in Mature IT Markets (The Case of Mobile Phone Market),"Kazakevitch, Gennadi and Torlina, Luba and Hendricks, Sharon",https://dblp.org/rec/conf/pacis/KazakevitchTH05,http://aisel.aisnet.org/pacis2005/71,2005,Pacific Asia Conference on Information Systems,inproceedings,DBLP,745
16,000856,Consumer Loyalty versus Propensity to Switch between Providers in Mature IT Markets (The Case of Mobile Phone Market),"Kazakevitch, Gennadi and Torlina, Luba and Hendricks, Sharon",https://dblp.org/rec/conf/pacis/KazakevitchTH06,http://aisel.aisnet.org/pacis2006/86,2006,Pacific Asia Conference on Information Systems,inproceedings,DBLP,855
17,000752,Modus Vivendi of E-Business,"Kuzic, Joze and Fisher, Julie and Scollary, Angela and Dawson, Linda and Kuzic, Milan and Turner, Rodney",https://dblp.org/rec/conf/pacis/KuzicFSDKT05,http://aisel.aisnet.org/pacis2005/99,2005,Pacific Asia Conference on Information Systems,inproceedings,DBLP,751
17,000866,Modus Vivendi of E-Business,"Kuzic, Joze and Fisher, Julie and Scollary, Angela and Dawson, Linda and Kuzic, Milan and Turner, Rodney",https://dblp.org/rec/conf/pacis/KuzicFSDKT06,http://aisel.aisnet.org/pacis2006/77,2006,Pacific Asia Conference on Information Systems,inproceedings,DBLP,865
18,001870,Open Innovation In Online Brand Communities,"Pahnila, Seppo and Väyrynen, Karin and Pokka, Tytti",https://dblp.org/rec/conf/pacis/PahnilaVP12,http://aisel.aisnet.org/pacis2012/176,2012,Pacific Asia Conference on Information Systems,inproceedings,DBLP,1869
18,002770,A Cultural Comparison of Open Innovation in Online Brand Communities,"Pahnila, Seppo and Väyrynen, Karin",https://dblp.org/rec/conf/pacis/PahnilaV15,http://aisel.aisnet.org/pacis2015/195,2015,Pacific Asia Conference on Information Systems,inproceedings,DBLP,2769
19,003476,Attitude Confidence and User Resistance for Purchasing Wearable Devices on VR - VR Headset Perspective,"Sohn, Bongjin and Lee, Ho and Choi, Jaewon",https://dblp.org/rec/conf/pacis/SohnLC17,http://aisel.aisnet.org/pacis2017/55,2017,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3475
19,003811,Attitude Confidence and User Resistance for Purchasing Wearable Devices on VR - VR Headset Perspective,"Sohn, Bongjin and Lim, Hyuna and Wang, Ming and Choi, Jaewon",https://dblp.org/rec/conf/pacis/SohnLWC18,https://aisel.aisnet.org/pacis2018/209,2018,Pacific Asia Conference on Information Systems,inproceedings,DBLP,3810
20,000521,Findings of Bruneian Senior Government Executives' Use of the Internet,"Seyal, Afzaal H. and Pijpers, Guus G. M.",https://dblp.org/rec/conf/pacis/SeyalP03,http://aisel.aisnet.org/pacis2003/18,2003,Pacific Asia Conference on Information Systems,inproceedings,DBLP,520
20,000533,Findings of Bruneian Senior Government Executives' Use of the Internet,"Torlina, Luba and Kazakevitch, Gennadi",https://dblp.org/rec/conf/pacis/TorlinaK03,http://aisel.aisnet.org/pacis2003/19,2003,Pacific Asia Conference on Information Systems,inproceedings,DBLP,532
